Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
78,block5_slice10_phase07,0.5056,0.8575,0.3519,0.8466,0.9804,0.1339,-0.0657,0.985,1.0507,0.8635,0.9893,0.1258,0.8522,0.9939,0.1417,0.7074,0.9705,0.2631,0.4481,0.8282,0.3801,0.808,0.749,0.707,0.8996,0.9844,0.0848,0.992,0.98,0.969,-0.8276,1431,0.55,Baseline,7
79,block5_slice10_phase08,0.6839,0.8747,0.1908,0.9117,0.9932,0.0816,0.5332,0.9927,0.4596,0.9357,0.9979,0.0622,0.9429,0.998,0.0551,0.8285,0.9888,0.1603,0.7151,0.8782,0.163,0.987,0.873,0.783,0.9451,0.9875,0.0425,0.979,0.977,0.975,-0.1991,65,0.02,Baseline,8
80,block5_slice10_phase09,0.8185,0.8785,0.06,0.9772,0.996,0.0188,0.7129,0.9925,0.2796,0.943,0.9948,0.0518,0.9919,0.9993,0.0074,0.9658,0.9952,0.0294,0.7738,0.9318,0.158,0.978,0.922,0.872,0.9826,0.9957,0.013,0.996,0.993,0.991,-0.0906,32,0.01,Baseline,9
81,block5_slice11_phase01,0.7085,0.8629,0.1545,0.9323,0.9939,0.0616,0.2751,0.9865,0.7114,0.8634,0.9907,0.1272,0.9678,0.9986,0.0308,0.889,0.9917,0.1027,0.56,0.8755,0.3155,0.863,0.816,0.779,0.9615,0.9922,0.0308,1.003,0.994,0.985,0.0924,0,0.0,Baseline,1
82,block5_slice11_phase02,0.5111,0.844,0.3329,0.8516,0.9819,0.1303,0.0265,0.9842,0.9576,0.8751,0.9936,0.1185,0.8532,0.9934,0.1402,0.7056,0.9678,0.2622,0.5115,0.7984,0.2869,0.89,0.754,0.665,0.8986,0.9838,0.0852,1.003,0.985,0.968,-1.3071,1292,0.49,Baseline,2
83,block5_slice11_phase03,0.3781,0.776,0.3979,0.8072,0.9491,0.1419,-0.1154,0.9641,1.0794,0.8806,0.9887,0.1082,0.7076,0.9685,0.2609,0.6092,0.8965,0.2873,0.3658,0.7052,0.3394,0.83,0.645,0.545,0.8307,0.9622,0.1316,1.004,0.964,0.927,-1.6331,3893,1.49,Baseline,3
84,block5_slice11_phase04,0.3282,0.7089,0.3806,0.7938,0.9209,0.1271,-0.149,0.6396,0.7885,0.8684,0.9688,0.1004,0.6399,0.9492,0.3093,0.5698,0.8395,0.2697,0.3458,0.5847,0.2389,0.525,0.446,0.413,0.8073,0.9556,0.1482,1.003,0.957,0.915,-1.7715,5054,1.93,Baseline,4
85,block5_slice11_phase05,0.3546,0.747,0.3923,0.7995,0.9349,0.1354,-0.141,0.9232,1.0642,0.8772,0.9833,0.1061,0.6736,0.9601,0.2865,0.591,0.8676,0.2766,0.3344,0.6799,0.3455,0.75,0.595,0.515,0.8183,0.9583,0.14,1.002,0.959,0.92,-1.7646,4644,1.77,Baseline,5
86,block5_slice11_phase06,0.414,0.8049,0.3909,0.8191,0.9628,0.1437,-0.0994,0.9785,1.0779,0.8767,0.9904,0.1137,0.7488,0.9799,0.2311,0.6336,0.9286,0.295,0.4062,0.7405,0.3343,0.811,0.67,0.588,0.848,0.9686,0.1206,0.999,0.968,0.939,-1.7141,3338,1.27,Baseline,6
87,block5_slice11_phase07,0.5052,0.8413,0.3361,0.8516,0.9807,0.1291,-0.0143,0.9735,0.9879,0.8603,0.9888,0.1285,0.8515,0.9932,0.1416,0.709,0.9674,0.2584,0.4614,0.8115,0.35,0.786,0.724,0.683,0.8994,0.9829,0.0835,1.009,0.987,0.966,-1.2075,1548,0.59,Baseline,7
88,block5_slice11_phase08,0.6761,0.8622,0.1861,0.9141,0.9939,0.0798,0.5239,0.9942,0.4703,0.9284,0.998,0.0696,0.9449,0.9981,0.0532,0.8341,0.9895,0.1554,0.7285,0.8811,0.1525,0.98,0.872,0.787,0.9458,0.9914,0.0456,0.993,0.988,0.983,-0.0471,5,0.0,Baseline,8
89,block5_slice11_phase09,0.8064,0.8666,0.0602,0.977,0.9963,0.0192,0.7066,0.9923,0.2857,0.9369,0.9946,0.0577,0.9917,0.9993,0.0076,0.9655,0.9953,0.0297,0.7672,0.918,0.1508,0.975,0.907,0.848,0.9823,0.9958,0.0135,1.002,0.997,0.992,0.0162,0,0.0,Baseline,9
90,block5_slice12_phase01,0.6997,0.8509,0.1512,0.9319,0.994,0.0621,0.2507,0.9785,0.7278,0.8478,0.9902,0.1424,0.9668,0.9984,0.0316,0.8859,0.9913,0.1054,0.543,0.8812,0.3383,0.867,0.823,0.788,0.9297,0.9524,0.0227,0.911,0.91,0.909,0.112,0,0.0,Baseline,1
91,block5_slice12_phase02,0.512,0.8257,0.3136,0.851,0.9778,0.1269,0.0644,0.9875,0.9231,0.8693,0.9943,0.125,0.8406,0.9907,0.1501,0.6892,0.9532,0.264,0.5345,0.814,0.2795,0.887,0.768,0.686,0.8886,0.9787,0.0901,0.98,0.969,0.958,-1.2596,1392,0.53,Baseline,2
92,block5_slice12_phase03,0.3854,0.7574,0.372,0.8055,0.9434,0.1379,-0.0765,0.9616,1.0382,0.8728,0.9893,0.1165,0.68,0.9607,0.2807,0.5805,0.876,0.2955,0.4064,0.7175,0.3111,0.818,0.652,0.559,0.826,0.9564,0.1305,1.016,0.964,0.917,-1.8077,4206,1.6,Baseline,3
93,block5_slice12_phase04,0.3345,0.6847,0.3502,0.7947,0.9148,0.1201,-0.0688,0.6132,0.682,0.8663,0.9626,0.0962,0.6133,0.936,0.3227,0.551,0.8189,0.2679,0.3802,0.5766,0.1964,0.542,0.444,0.405,0.8026,0.9425,0.1399,1.031,0.957,0.891,-2.5492,5226,1.99,Baseline,4
94,block5_slice12_phase05,0.3624,0.7239,0.3615,0.7994,0.929,0.1296,-0.1055,0.8824,0.988,0.8693,0.9804,0.111,0.6471,0.9497,0.3025,0.5679,0.8469,0.2789,0.3618,0.6918,0.3301,0.689,0.584,0.529,0.8128,0.9495,0.1367,1.008,0.953,0.904,-2.0078,4709,1.8,Baseline,5
95,block5_slice12_phase06,0.418,0.7833,0.3652,0.8168,0.9573,0.1405,-0.0497,0.9725,1.0222,0.8713,0.9907,0.1194,0.7235,0.9739,0.2504,0.6046,0.9097,0.3051,0.4488,0.7646,0.3158,0.79,0.684,0.619,0.8438,0.9651,0.1213,1.022,0.976,0.933,-1.6044,3384,1.29,Baseline,6
96,block5_slice12_phase07,0.5006,0.8197,0.3191,0.8502,0.9764,0.1262,0.0457,0.9424,0.8967,0.8515,0.9868,0.1353,0.838,0.9905,0.1525,0.6903,0.9531,0.2628,0.4665,0.8032,0.3367,0.76,0.707,0.671,0.8888,0.9786,0.0898,0.982,0.97,0.958,-1.1444,1561,0.6,Baseline,7
97,block5_slice12_phase08,0.67,0.8496,0.1796,0.9143,0.9931,0.0788,0.5272,0.9944,0.4671,0.9198,0.9979,0.078,0.944,0.9976,0.0536,0.8312,0.987,0.1558,0.7483,0.8782,0.1299,0.971,0.865,0.783,0.921,0.9581,0.0371,0.92,0.92,0.92,-0.0808,5,0.0,Baseline,8
98,block5_slice12_phase09,0.7957,0.8551,0.0593,0.9769,0.9965,0.0197,0.692,0.9908,0.2988,0.9273,0.9942,0.0669,0.9916,0.9993,0.0077,0.9659,0.9956,0.0297,0.7641,0.9212,0.1571,0.966,0.906,0.854,0.9812,0.9959,0.0148,1.0,0.996,0.992,0.2296,0,0.0,Baseline,9
99,block5_slice13_phase01,0.6915,0.8397,0.1481,0.929,0.9923,0.0633,0.2312,0.9651,0.7339,0.8252,0.9898,0.1645,0.9642,0.9977,0.0335,0.8744,0.9867,0.1123,0.5202,0.8879,0.3677,0.845,0.819,0.798,0.941,0.9788,0.0377,1.036,0.997,0.958,0.0665,0,0.0,Baseline,1
100,block5_slice13_phase02,0.5158,0.8144,0.2986,0.8439,0.9738,0.1299,0.1187,0.9854,0.8666,0.857,0.9946,0.1376,0.82,0.9868,0.1668,0.6502,0.9384,0.2882,0.5491,0.8379,0.2888,0.863,0.781,0.721,0.7666,0.833,0.0664,0.834,0.764,0.714,-1.3875,1016,0.39,Baseline,2
101,block5_slice13_phase03,0.4008,0.7471,0.3463,0.8021,0.9386,0.1365,-0.0302,0.9289,0.959,0.8562,0.9851,0.1289,0.6572,0.9553,0.2981,0.545,0.8583,0.3133,0.441,0.7365,0.2955,0.772,0.653,0.583,0.7088,0.8583,0.1495,0.91,0.82,0.752,-1.9344,3477,1.33,Baseline,3
102,block5_slice13_phase04,0.3534,0.6821,0.3287,0.7932,0.9123,0.1191,0.0315,0.6363,0.6047,0.858,0.9556,0.0976,0.597,0.9299,0.3329,0.5262,0.8056,0.2794,0.4015,0.584,0.1825,0.511,0.441,0.412,0.6734,0.848,0.1746,0.899,0.805,0.736,-2.0985,4729,1.8,Baseline,4
103,block5_slice13_phase05,0.379,0.7155,0.3365,0.7978,0.9257,0.1279,-0.0516,0.8143,0.8659,0.8546,0.9737,0.119,0.6285,0.9429,0.3145,0.5404,0.8329,0.2926,0.4108,0.6734,0.2626,0.617,0.545,0.508,0.6877,0.8497,0.162,0.887,0.802,0.739,-2.0542,3869,1.48,Baseline,5
104,block5_slice13_phase06,0.4283,0.7721,0.3438,0.8115,0.9517,0.1403,0.0095,0.9459,0.9364,0.858,0.9877,0.1297,0.6974,0.9667,0.2693,0.5628,0.8886,0.3258,0.4794,0.7674,0.288,0.751,0.672,0.623,0.7181,0.8573,0.1392,0.902,0.815,0.75,-1.8299,2740,1.05,Baseline,6
105,block5_slice13_phase07,0.5,0.8048,0.3048,0.8419,0.9713,0.1294,0.0964,0.8679,0.7716,0.8353,0.9798,0.1445,0.8162,0.9864,0.1702,0.6481,0.9373,0.2891,0.4522,0.7792,0.3271,0.704,0.664,0.638,0.7644,0.8294,0.0649,0.828,0.758,0.708,-1.2528,1260,0.48,Baseline,7
106,block5_slice13_phase08,0.6675,0.8386,0.1711,0.9111,0.9899,0.0788,0.549,0.9925,0.4435,0.9083,0.9973,0.0891,0.9392,0.9959,0.0567,0.8158,0.9781,0.1624,0.7488,0.8827,0.1339,0.971,0.87,0.79,0.9158,0.9696,0.0539,1.051,0.994,0.941,-0.0654,19,0.01,Baseline,8
107,block5_slice13_phase09,0.7871,0.8455,0.0584,0.9756,0.9964,0.0208,0.667,0.987,0.32,0.9103,0.9935,0.0832,0.9915,0.9992,0.0077,0.9641,0.9948,0.0307,0.7521,0.9326,0.1804,0.967,0.917,0.874,0.9701,0.9877,0.0176,0.988,0.982,0.976,0.3014,0,0.0,Baseline,9
108,block5_slice14_phase01,0.7053,0.8406,0.1353,0.927,0.9909,0.0639,0.2157,0.9423,0.7266,0.7978,0.9882,0.1903,0.9597,0.9966,0.0369,0.8536,0.9816,0.1279,0.5026,0.8752,0.3726,0.817,0.795,0.778,0.8292,0.8267,-0.0025,0.705,0.705,0.705,-0.047,4,0.0,Baseline,1
109,block5_slice14_phase02,0.5455,0.818,0.2725,0.8415,0.9748,0.1333,0.1914,0.9738,0.7824,0.8375,0.9936,0.1561,0.8023,0.9837,0.1814,0.6048,0.9334,0.3287,0.557,0.8351,0.2781,0.833,0.765,0.717,0.7775,0.8755,0.098,0.893,0.829,0.779,-0.7057,760,0.29,Baseline,2
110,block5_slice14_phase03,0.4464,0.7565,0.3101,0.8032,0.941,0.1378,0.0396,0.8681,0.8285,0.8357,0.9758,0.1401,0.6471,0.9558,0.3087,0.5057,0.855,0.3493,0.4703,0.721,0.2508,0.697,0.612,0.564,0.7898,0.9216,0.1318,1.143,0.987,0.855,-1.5465,2236,0.85,Baseline,3
111,block5_slice14_phase04,0.4072,0.7018,0.2946,0.7933,0.9145,0.1212,0.1548,0.6813,0.5264,0.8484,0.9469,0.0985,0.59,0.9296,0.3396,0.4865,0.7938,0.3074,0.4338,0.5667,0.1329,0.454,0.412,0.395,0.7664,0.8979,0.1315,1.182,0.98,0.815,-1.5335,3379,1.29,Baseline,4
112,block5_slice14_phase05,0.4277,0.7304,0.3027,0.7992,0.9271,0.1279,0.0242,0.7782,0.754,0.8364,0.9631,0.1267,0.6193,0.9413,0.322,0.5028,0.8223,0.3195,0.4445,0.6334,0.1889,0.528,0.484,0.463,0.7751,0.9069,0.1318,1.166,0.982,0.83,-1.6038,2752,1.05,Baseline,5
113,block5_slice14_phase06,0.4697,0.779,0.3093,0.8122,0.9533,0.1412,0.0892,0.8812,0.7919,0.8393,0.9768,0.1375,0.6834,0.9664,0.283,0.5228,0.8856,0.3628,0.4858,0.7468,0.2611,0.652,0.617,0.596,0.7278,0.866,0.1382,0.897,0.821,0.764,-1.7412,1774,0.68,Baseline,6
114,block5_slice14_phase07,0.5305,0.8074,0.2769,0.8384,0.9706,0.1322,0.1495,0.7741,0.6247,0.8194,0.9663,0.147,0.7975,0.983,0.1855,0.5994,0.9302,0.3308,0.4276,0.7009,0.2733,0.621,0.568,0.539,0.7767,0.8779,0.1012,0.896,0.832,0.782,-0.6808,1292,0.49,Baseline,7
115,block5_slice14_phase08,0.69,0.8424,0.1523,0.9093,0.9889,0.0796,0.5937,0.9892,0.3955,0.8939,0.9958,0.1019,0.9327,0.9942,0.0616,0.7896,0.9721,0.1825,0.7423,0.8835,0.1412,0.964,0.868,0.791,0.8341,0.8378,0.0036,0.721,0.721,0.721,0.0238,0,0.0,Baseline,8
116,block5_slice14_phase09,0.7951,0.8495,0.0545,0.9739,0.9959,0.0221,0.6452,0.9817,0.3365,0.8859,0.9924,0.1064,0.991,0.9991,0.0081,0.9582,0.9933,0.0351,0.728,0.9333,0.2053,0.971,0.92,0.875,0.9725,0.9887,0.0162,1.016,0.997,0.978,0.3195,0,0.0,Baseline,9
117,block5_slice15_phase01,0.72,0.8433,0.1233,0.9294,0.9911,0.0616,0.2087,0.9052,0.6965,0.7998,0.9793,0.1795,0.9537,0.9962,0.0425,0.8355,0.9806,0.1451,0.476,0.8318,0.3558,0.75,0.728,0.712,0.8822,0.9385,0.0564,1.109,0.99,0.884,-0.2901,63,0.02,Baseline,1
118,block5_slice15_phase02,0.5777,0.8194,0.2417,0.848,0.9755,0.1275,0.2971,0.9445,0.6474,0.8417,0.9885,0.1468,0.7924,0.981,0.1886,0.5857,0.9294,0.3437,0.5664,0.8161,0.2497,0.761,0.719,0.689,0.5939,0.6471,0.0533,1.898,0.938,0.478,-0.3648,462,0.18,Baseline,2
119,block5_slice15_phase03,0.4915,0.7627,0.2712,0.812,0.9414,0.1294,0.1759,0.8396,0.6637,0.8459,0.9655,0.1196,0.6381,0.9481,0.31,0.4851,0.8397,0.3546,0.5081,0.6719,0.1638,0.581,0.531,0.506,0.5348,0.582,0.0472,2.271,0.952,0.41,-1.2262,1870,0.71,Baseline,3
120,block5_slice15_phase04,0.4565,0.7172,0.2607,0.8025,0.9158,0.1133,0.2904,0.7193,0.4289,0.8642,0.9331,0.069,0.5801,0.9191,0.339,0.4633,0.7757,0.3125,0.4595,0.5208,0.0613,0.413,0.368,0.352,0.4138,0.418,0.0042,1.829,0.591,0.264,-0.8999,2917,1.11,Baseline,4
121,block5_slice15_phase05,0.4738,0.7408,0.267,0.8082,0.928,0.1197,0.1623,0.8092,0.6469,0.8446,0.9579,0.1132,0.6076,0.9331,0.3254,0.4803,0.8039,0.3237,0.4751,0.6215,0.1464,0.497,0.465,0.451,0.4107,0.4154,0.0047,1.738,0.569,0.262,-1.1459,2404,0.92,Baseline,5
122,block5_slice15_phase06,0.5126,0.7833,0.2707,0.8211,0.9546,0.1335,0.221,0.8162,0.5952,0.846,0.9628,0.1169,0.6765,0.961,0.2845,0.5076,0.8784,0.3708,0.504,0.6799,0.1759,0.605,0.546,0.515,0.5586,0.6205,0.0619,1.945,0.914,0.45,-1.0976,1485,0.57,Baseline,6
123,block5_slice15_phase07,0.5613,0.8087,0.2475,0.8443,0.9714,0.1271,0.2191,0.7463,0.5272,0.8286,0.9517,0.1232,0.7882,0.9805,0.1923,0.5778,0.9253,0.3476,0.4175,0.6533,0.2358,0.575,0.515,0.485,0.5932,0.6454,0.0523,1.912,0.94,0.476,-0.83,923,0.35,Baseline,7
124,block5_slice15_phase08,0.7083,0.8453,0.1369,0.9128,0.9903,0.0775,0.6534,0.9868,0.3334,0.8933,0.9948,0.1014,0.9259,0.994,0.0681,0.7715,0.9731,0.2016,0.7436,0.8836,0.14,0.954,0.863,0.792,0.6413,0.6738,0.0326,1.941,0.991,0.508,-0.0035,1,0.0,Baseline,8
125,block5_slice15_phase09,0.8022,0.8532,0.051,0.9741,0.996,0.0219,0.6425,0.9762,0.3338,0.8784,0.9919,0.1135,0.9896,0.9989,0.0093,0.9512,0.9924,0.0412,0.7049,0.9325,0.2276,0.945,0.907,0.874,0.9445,0.9698,0.0252,1.051,0.994,0.941,0.2464,0,0.0,Baseline,9
126,block5_slice16_phase01,0.7301,0.8449,0.1148,0.9343,0.9909,0.0565,0.2227,0.8787,0.6561,0.8298,0.9706,0.1408,0.9481,0.9957,0.0475,0.8268,0.9791,0.1522,0.443,0.7688,0.3258,0.661,0.638,0.624,0.9129,0.9628,0.0499,1.053,0.989,0.928,-0.2867,380,0.14,Baseline,1
127,block5_slice16_phase02,0.6036,0.8253,0.2218,0.8595,0.9737,0.1142,0.4098,0.9043,0.4944,0.8681,0.9767,0.1086,0.7859,0.9753,0.1894,0.5927,0.9228,0.3301,0.5391,0.7251,0.186,0.649,0.598,0.569,0.7924,0.9031,0.1107,0.905,0.86,0.823,-0.5967,609,0.23,Baseline,2
128,block5_slice16_phase03,0.5261,0.773,0.2469,0.8263,0.9413,0.115,0.3685,0.8325,0.464,0.8744,0.9557,0.0812,0.627,0.9322,0.3052,0.4923,0.826,0.3338,0.5084,0.6211,0.1126,0.51,0.469,0.45,0.7104,0.7625,0.0522,0.939,0.739,0.616,-1.1511,2211,0.84,Baseline,3
129,block5_slice16_phase04,0.496,0.7292,0.2333,0.8167,0.9176,0.1009,0.3422,0.6726,0.3304,0.8843,0.9175,0.0332,0.5725,0.9011,0.3285,0.468,0.7637,0.2957,0.4621,0.4894,0.0273,0.441,0.353,0.324,0.7862,0.8354,0.0492,1.263,0.945,0.717,-1.0483,3153,1.2,Baseline,4
130,block5_slice16_phase05,0.5107,0.7535,0.2428,0.8217,0.9297,0.108,0.3509,0.8215,0.4706,0.8685,0.9528,0.0844,0.5972,0.9161,0.319,0.4833,0.7926,0.3093,0.5019,0.6074,0.1055,0.474,0.448,0.436,0.7913,0.8368,0.0454,1.269,0.95,0.719,-1.0389,2685,1.02,Baseline,5
131,block5_slice16_phase06,0.546,0.7931,0.2471,0.8347,0.9541,0.1194,0.377,0.8163,0.4392,0.8682,0.9558,0.0875,0.6687,0.9507,0.282,0.5169,0.866,0.3491,0.4877,0.6296,0.1419,0.538,0.484,0.459,0.7226,0.769,0.0464,0.92,0.738,0.625,-1.2686,1656,0.63,Baseline,6
132,block5_slice16_phase07,0.5905,0.8173,0.2268,0.857,0.9706,0.1136,0.2907,0.7755,0.4848,0.8559,0.9451,0.0893,0.7844,0.9751,0.1907,0.5878,0.9196,0.3318,0.4463,0.6359,0.1895,0.613,0.513,0.466,0.7924,0.9028,0.1104,0.905,0.86,0.823,-0.9621,981,0.37,Baseline,7
133,block5_slice16_phase08,0.7212,0.8497,0.1285,0.9193,0.9904,0.0712,0.7097,0.9818,0.2721,0.9098,0.9936,0.0837,0.9202,0.9931,0.0729,0.7681,0.9716,0.2035,0.7462,0.8785,0.1322,0.914,0.841,0.783,0.8855,0.9537,0.0681,1.033,0.969,0.911,0.0495,0,0.0,Baseline,8
134,block5_slice16_phase09,0.8047,0.8558,0.0511,0.9759,0.9957,0.0198,0.6583,0.9712,0.3129,0.8974,0.992,0.0946,0.9874,0.9986,0.0111,0.9451,0.9906,0.0455,0.695,0.9117,0.2166,0.871,0.853,0.838,0.9581,0.9789,0.0208,1.035,0.996,0.959,-0.1538,32,0.01,Baseline,9
135,block5_slice17_phase01,0.7448,0.8469,0.1021,0.9442,0.9911,0.0469,0.2749,0.8788,0.6039,0.8733,0.9698,0.0964,0.9471,0.9939,0.0467,0.8414,0.9787,0.1374,0.4824,0.7903,0.308,0.708,0.675,0.653,0.8991,0.9421,0.043,0.934,0.911,0.89,-0.4779,397,0.15,Baseline,1
136,block5_slice17_phase02,0.6196,0.831,0.2115,0.8767,0.9742,0.0975,0.4603,0.9034,0.4431,0.8907,0.9719,0.0812,0.7874,0.9665,0.1791,0.6301,0.92,0.2899,0.5023,0.681,0.1787,0.621,0.552,0.516,0.7549,0.786,0.0311,0.914,0.752,0.647,-0.6154,1194,0.46,Baseline,2
137,block5_slice17_phase03,0.5448,0.7808,0.236,0.8435,0.9463,0.1029,0.4982,0.7947,0.2965,0.8953,0.9486,0.0533,0.632,0.9266,0.2947,0.5242,0.8352,0.311,0.548,0.5881,0.0401,0.526,0.449,0.417,0.8197,0.8504,0.0308,1.234,0.95,0.74,-1.5676,2660,1.01,Baseline,3
138,block5_slice17_phase04,0.5156,0.7302,0.2146,0.8346,0.9215,0.0869,0.0943,0.4034,0.309,0.8918,0.9081,0.0163,0.5847,0.8973,0.3126,0.499,0.7654,0.2664,0.0143,0.1756,0.1613,0.75,0.154,0.096,0.7435,0.7992,0.0557,1.015,0.805,0.666,-1.9858,3450,1.32,Baseline,4
139,block5_slice17_phase05,0.5295,0.7568,0.2273,0.8391,0.9334,0.0943,0.4921,0.7287,0.2367,0.8959,0.9387,0.0427,0.6054,0.9108,0.3054,0.5123,0.7958,0.2835,0.5236,0.5899,0.0663,0.481,0.437,0.418,0.7455,0.7904,0.0448,1.001,0.791,0.653,-1.8735,2918,1.11,Baseline,5
140,block5_slice17_phase06,0.5647,0.801,0.2363,0.8515,0.9571,0.1055,0.4802,0.8229,0.3428,0.8893,0.9549,0.0656,0.6725,0.9411,0.2686,0.5494,0.8679,0.3185,0.5203,0.6027,0.0824,0.557,0.469,0.431,0.8263,0.8559,0.0295,1.23,0.954,0.748,-1.4302,2410,0.92,Baseline,6
141,block5_slice17_phase07,0.611,0.8234,0.2124,0.8765,0.9716,0.0951,0.3363,0.7938,0.4575,0.8895,0.9486,0.0591,0.7891,0.9662,0.1771,0.6304,0.9164,0.286,0.4639,0.6053,0.1414,0.651,0.5,0.434,0.755,0.7857,0.0308,0.914,0.752,0.647,-1.1214,1423,0.54,Baseline,7
142,block5_slice17_phase08,0.7359,0.8511,0.1151,0.93,0.9897,0.0597,0.7147,0.9717,0.257,0.9325,0.9905,0.0581,0.9186,0.99,0.0713,0.787,0.9694,0.1824,0.736,0.85,0.114,0.861,0.791,0.739,0.6485,0.6689,0.0205,0.525,0.51,0.503,0.0879,0,0.0,Baseline,8
143,block5_slice17_phase09,0.8114,0.858,0.0467,0.9794,0.9951,0.0157,0.6736,0.9669,0.2933,0.9294,0.9892,0.0598,0.9858,0.9977,0.0119,0.9468,0.9884,0.0415,0.6834,0.8879,0.2044,0.843,0.818,0.798,0.9364,0.9419,0.0055,0.934,0.911,0.89,0.0607,0,0.0,Baseline,9
144,block5_slice18_phase01,0.7533,0.8443,0.091,0.9562,0.9913,0.0351,0.4026,0.8896,0.4871,0.9165,0.9729,0.0564,0.9542,0.9932,0.0389,0.8718,0.9798,0.1079,0.6508,0.6727,0.0219,1.331,0.784,0.507,0.9351,0.9674,0.0323,0.996,0.966,0.937,-0.4289,274,0.1,Baseline,1
145,block5_slice18_phase02,0.6297,0.8298,0.2001,0.8954,0.9774,0.0819,0.4781,0.9071,0.429,0.9122,0.9731,0.0608,0.8044,0.9691,0.1647,0.6812,0.9312,0.25,0.6076,0.5174,-0.0902,1.08,0.538,0.349,0.8382,0.8651,0.0268,1.305,0.997,0.762,-0.7495,1215,0.46,Baseline,2
146,block5_slice18_phase03,0.5549,0.7785,0.2236,0.8607,0.9501,0.0894,0.5644,0.7412,0.1767,0.9155,0.95,0.0345,0.6499,0.9357,0.2858,0.5656,0.8445,0.2789,0.6123,0.4755,-0.1368,0.893,0.45,0.312,0.8467,0.9402,0.0935,1.098,0.986,0.887,-1.1656,3379,1.29,Baseline,3
147,block5_slice18_phase04,0.5204,0.7067,0.1862,0.8506,0.9209,0.0703,-0.1505,0.0876,0.2381,0.9022,0.9086,0.0065,0.6037,0.8979,0.2943,0.5332,0.7549,0.2217,0.1473,0.0016,-0.1457,1.631,0.002,0.001,0.8314,0.9333,0.1019,1.073,0.967,0.875,-1.6586,4654,1.78,Baseline,4
148,block5_slice18_phase05,0.5395,0.7477,0.2082,0.8548,0.9339,0.0792,0.5485,0.5959,0.0474,0.9153,0.9348,0.0195,0.6217,0.9127,0.291,0.5451,0.7928,0.2477,0.5115,0.3288,-0.1827,1.735,0.45,0.197,0.8413,0.9383,0.097,1.083,0.977,0.884,-1.2305,4105,1.57,Baseline,5
149,block5_slice18_phase06,0.5757,0.7996,0.224,0.8691,0.9613,0.0922,0.5392,0.8325,0.2933,0.9134,0.9599,0.0465,0.691,0.9499,0.2589,0.5932,0.8814,0.2882,0.5887,0.444,-0.1447,0.962,0.436,0.285,0.8589,0.9446,0.0857,1.093,0.988,0.895,-1.2128,3026,1.15,Baseline,6
150,block5_slice18_phase07,0.6229,0.8233,0.2004,0.8956,0.9753,0.0797,0.3088,0.7884,0.4795,0.911,0.9526,0.0416,0.8069,0.9686,0.1617,0.6816,0.9284,0.2468,0.5287,0.4671,-0.0616,1.17,0.507,0.305,0.8381,0.8648,0.0267,1.305,0.997,0.762,-1.2644,1375,0.52,Baseline,7
151,block5_slice18_phase08,0.7378,0.8476,0.1098,0.9418,0.9897,0.0478,0.6388,0.9593,0.3205,0.9443,0.9881,0.0438,0.9255,0.9887,0.0632,0.8207,0.9705,0.1498,0.6886,0.6264,-0.0622,1.322,0.727,0.456,0.9197,0.9609,0.0411,0.998,0.96,0.925,-0.1299,99,0.04,Baseline,8
152,block5_slice18_phase09,0.8093,0.8545,0.0452,0.9836,0.9951,0.0114,0.6932,0.9606,0.2674,0.9495,0.9882,0.0387,0.9869,0.9975,0.0106,0.9562,0.9895,0.0334,0.7344,0.7601,0.0257,1.357,0.896,0.613,0.6062,0.5802,-0.026,0.495,0.434,0.409,-0.037,47,0.02,Baseline,9
0,block5_slice02_phase01,0.8542,0.9567,0.1025,0.9571,0.9924,0.0353,0.8481,0.9854,0.1373,0.9738,0.9918,0.018,0.9762,0.9986,0.0224,0.9267,0.9929,0.0661,0.8871,0.9391,0.0521,0.912,0.898,0.885,0.9554,0.983,0.0276,0.973,0.97,0.967,-0.0089,2,0.0,MotionFiLM,1
1,block5_slice02_phase02,0.6051,0.9346,0.3296,0.8615,0.979,0.1175,0.7377,0.9732,0.2355,0.9621,0.9938,0.0317,0.8761,0.9885,0.1124,0.7844,0.971,0.1867,0.6107,0.6786,0.0679,0.547,0.525,0.514,0.8871,0.9531,0.066,0.965,0.937,0.91,-0.6721,654,0.25,MotionFiLM,2
